"","eidid","eid_name","data_quality","path_genus","path_species","path_common","path_subgroup","path_disease","event_location","map_type","no_map_objects","sourcenotes_original","sourcenotes_ceisin","transtype_zoo_t","transtype_zoo_pd","zoo_origin","zoo_origin_type","path_type","transmode_descrip","transmode_1_descrip","transmode_1_contact","transmode_2_code","transmode_3_code","transtype_human","path_acquisition","path_vector","event_date","event_year","event_decade","event_ref","event_type","drivers_ref","drivers","driver_1","driver_1_iom","driver_1_pd","driver_pd_reclass","driver_2","driver_3","path_reservoir","path_georange","path_hosteffect","eid_ref","notes","geo_data_qual_1","geo_data_qual_12","yr1","yr2","filename","wildlife_zoonoses"
"231",231,"HED_231",1,"Yersinia","enterocolitica","Unspecified","O:5, 27","Unspecified","Germany","3",1,"ESRICountry00. ""Germany""","Country name ""Germany""","yes",1,1,1,"bacteria","fecal-oral transmission or direct contact","ingestion of contaminated food","indirect contact","direct contact","None","","","None","late 1960s or 1970",1960,"1960","Aleksic S. Bockemuhl J. Wuthe HH. Aleksic V. Occurrence and clinical importance of the pathogenic serogroup O: 5, 27 of Yersinia enterocolitica in the Federal Republic of Germany and methods for its serological and bacteriological identification. [Journal Article] Zentralblatt fur Bakteriologie, Mikrobiologie, und Hygiene - Series A, Medical Microbiology, Infectious Diseases, Virology, Parasitology. 269(2):197-204, 1988 Aug. G. Wauters","","http://www.cdphe.state.co.us/dc/EIP/yer.asp; Tauxe RV. Emerging Foodborne Diseases: An Evolving Public Health Challenge. Emerg Infect Dis [serial online] 1997 Oct-Dec [cited 2001 Jan 26];3(4).","transmissible to humans through contaminated animal products, most often pork and raw milk.  Yersinia, unlike other foodborne pathogens, presents a unique public health challenge in that the bacterium thrives at refrigeration temperatures; Y. enterocoliti","pig trade","international travel and commerce","international travel and commerce","international travel and commerce","None","None","domestic pigs and other food animals","Unspecified","Unspecified","Taylor et al.","Georges Wauters",0,1,1,0,"HED_231.shp",FALSE
"232",232,"HED_232",1,"Yersinia","enterocolitica","Unspecified","O:8","Unspecified","USA","3",1,"ESRICountry00. ""US""","Country name ""United States""","yes",1,1,1,"bacteria","fecal-oral transmission or direct contact","ingestion of contaminated food","indirect contact","direct contact","None","","","None","1923",1923,"1920","Gilbert R. (Ann Report of the Division of Lab. and Research. New York State Department of Health, Albany 1933, 57 - 58), by MacIver M.A. and Pike R. M.(Clinical Miscellany, The Mary Imogene Bassett Hospital. Cooperstown, New-York; 1934,1:16-21) and by Schleifstein J and Coleman N. (Ann. Report of the Division of Lab. and Research. New York State Department of Health, 1943, 56); Gilbert R. pers. comm.","","http://www.cdphe.state.co.us/dc/EIP/yer.asp; Tauxe RV. Emerging Foodborne Diseases: An Evolving Public Health Challenge. Emerg Infect Dis [serial online] 1997 Oct-Dec [cited 2001 Jan 26];3(4).","transmissible to humans through contaminated animal products, most often pork and raw milk.  Yersinia, unlike other foodborne pathogens, presents a unique public health challenge in that the bacterium thrives at refrigeration temperatures; Y. enterocoliti","pig trade","international travel and commerce","international travel and commerce","international travel and commerce","None","None","domestic pigs and other food animals","Unspecified","Unspecified","Taylor et al.","Georges Wauters",0,0,0,0,"HED_232.shp",FALSE
"233",233,"HED_233",1,"Yersinia","enterocolitica","Unspecified","O:9","Unspecified","Finland","3",1,"ESRICountry00. ""Finland""","Country name ""Finland""","yes",1,1,1,"bacteria","fecal-oral transmission or direct contact","ingestion of contaminated food","indirect contact","direct contact","None","","","None","1968",1968,"1960","first reported (but not mentioned as such, since the antigen number was given later on at our laboratory) in 1968 by Ahvonen P. and Jansson E. in Finland (Scand. J. Clin. Lab. Invest., 1968, 21suppl.101:57). ) and in 1969 by Nilehn in Sweden ( Acta Path. Microbiol. Scand. 1969, suppl.206:1-48).","","http://www.cdphe.state.co.us/dc/EIP/yer.asp; Tauxe RV. Emerging Foodborne Diseases: An Evolving Public Health Challenge. Emerg Infect Dis [serial online] 1997 Oct-Dec [cited 2001 Jan 26];3(4).","transmissible to humans through contaminated animal products, most often pork and raw milk.  Yersinia, unlike other foodborne pathogens, presents a unique public health challenge in that the bacterium thrives at refrigeration temperatures; Y. enterocoliti","pig trade","international travel and commerce","international travel and commerce","international travel and commerce","None","None","domestic pigs and other food animals","Unspecified","Unspecified","Taylor et al.","Georges Wauters",0,1,1,0,"HED_233.shp",FALSE
"234",234,"HED_234",1,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","Surat, Gujarat, India","1",1,"GGv2. ""Surat, India, State of Gujarat""","GGv2. ""Surat, India, State of Gujarat""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","","","flea","Aug-94",1994,"1990","CDC. 1994d. MMWR. 43(41): 761-2.","","Ramalingaswami. 1996. Current Science. 71:781-806. World Resources Institute 1996. UNEP/UNDP. World Resources 1996-7. New York and Oxford: Oford Univesoty Press","breakdown of public health measures, namely crowding, poor sanitation, squalid conditions; the squalid conditions in much of Surat and the occurrence of two recent natural disasters in the area. Both of these factors contributed to bringing a plague-infected rat population into contact with human population of Surat.  Even though pneumonic plague does not require rats and lfeas for transmission among humans, the Surat rat population is regarded as the original source of the infection","breakdown of public health measures","breakdown of public health measures","breakdown of public health measures","breakdown of public health measures","natural disasters","None","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","Georges Wauters",1,1,1,1,"HED_234.shp",TRUE
"235",235,"HED_235",1,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","New Mexico","3",1,"ESRIAdmin00. ""New Mexico, US""","ESRIAdmin00. ""New Mexico, US""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","flea","1970",1970,"1970","Dennis and Gage 1999. Plague in: D. Armstrong and J. Cohen (eds.) Infectious diseases. Pp. 6:34.5-34.10 London: Mosby; http://www.vetmed.wisc.edu/pbs/zoonoses/plague/plagueindx.html","","Dennis and Gage 1999. Plague in: D. Armstrong and J. Cohen (eds.) Infectious diseases. Pp. 6:34.5-34.10 London: Mosby;","residential development rise in plague endemic areas, pets; hiking, hunting, camping; deforestation","development/encroachment/deforestation","economic development and land use","encroachment","land use change","recreational activities in wooded areas","pets","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","",0,1,1,0,"HED_235.shp",TRUE
"236",236,"HED_236",1,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","farm in the Graaff-Reinet district of the eastern Cape Province South Africa","1",1,"GGv2. ""Graaff-Reinet, South Africa""","GGv2. ""Graaff-Reinet, South Africa""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","Xenopsyl philoxera; X. piriei","Nov. 11, 1972",1972,"1970","Thornton DJ, Tustin RC, Piennar WN, Bubb JD. Cat bite transmission of Yersinia pestis infection to man. J S Afr Vet Assoc 1975; 46:165–9. Mall AA, O’Leary SB. Plague in the Americas [publication no. 225]. Washington,DC: Pan American Sanitary Bureau, 1945:45, 65, 98.","","Gage et al. 2000. CID 30:893-900. Thornton DJ, Tustin RC, Piennar WN, Bubb JD. Cat bite transmission of Yersinia pestis infection to man. J S Afr Vet Assoc 1975; 46:165–9.","pet cats; infected rodents could been introduced onto the farm in 1970 when a quantity of maize for sheep feed was imported from the Orange Free State, parts of which are enzootic areas; wild carnivores, e.g. red lynx, and rodents may have migrated itno t","commerce trade","international travel and commerce","international travel and commerce","international travel and commerce","pets","farms near wooded areas","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans;","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_236.shp",TRUE
"237",237,"HED_237",0,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","Bolivia, Brazil, Ecuador, Peru. Nikki rechecked and suggested Northern Peru.","3",1,"ESRICountry00. ""Peru""","Country name ""Peru""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","flea","1994",1994,"1990","Ruiz 2001. EID 7(3suppl):539-540","","Ruiz 2001. EID 7(3suppl):539-540","pet rodents facilitate human exposure to infected fleas","pet rodents","international travel and commerce","international travel and commerce","international travel and commerce","None","None","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_237.shp",TRUE
"238",238,"HED_238",1,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","Al-Azzizat, Libya","1",1,"GGv2. ""Al'Aziziyah, Libya""","GGv2. ""Al'Aziziyah, Libya""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","flea","Feb-76",1976,"1970","Christie et al 1980. JID. 141: 724-6","","Dennis 1999 Plague in: RL Guerrant et al (eds) Tropical infectious diseases pp. 506-516 Philadelphia: Churchill Livingstone.","slaugtering, skinning, and/or consumption of  goat, camel, sheep meat (halal)","halal meat","technology and industry","human demographics and behavior","human demographics and behavior","None","None","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","A few natural plague foci are found in the Americas: in the western United States; in northern Peru; in Chimborazo Province, Ecuador; and in the Department of La Paz, Bolivia. Several foci are also located in the semi-arid regions of northeastern Brazil.  Ruiz 2001. EID 7(3suppl):539-540",1,1,1,0,"HED_238.shp",TRUE
"239",239,"HED_239",1,"Yersinia","pestis","Unspecified","multidrug-resistance","Unspecified","Ambalavao district of Madagascar. Nikki rechecked and suggested ""100 km circle around town of ambalavao"". However there are lots of towns called Ambalavao so I left it as it was","3",1,"traveljournals.net. ""Province of Fianarantsoa, Madagascar"" ESRIAdmin00.","traveljournals.net. ""Province of Fianarantsoa, Madagascar"" ESRIAdmin00.","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","flea","1995",1995,"1990","Rasoamanana B, Leroy F, Raharimanana C, Chanteau S. Surveillance de la sensibilité aux antibiotiques des souches de Yersinia pestis à Madagascar de 1989 à 1995. Arch Inst Pasteur Madagascar 1995;62:108-10. Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","","Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","naturally acquired resistance: We report high-level resistance to multiple antibiotics,including all the drugs recommended for plague prophylaxis and therapy, in a clinical isolate of Y. pestis. The resistance genes were carried by a plasmid that could co","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","",0,1,1,1,"HED_239.shp",TRUE
"240",240,"HED_240",0,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","Malawi and Mozambique","3",2,"ESRICountry00. ""Malawi/Mozambique""","Country name ""Malawi"" and ""Mozambique""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","flea","1994",1994,"1990","Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","reemergence","Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","reappeared in epidemic form where previously was silent for 15-30 years","antibiotic resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.; Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","",0,0,1,1,"HED_240.shp",TRUE
"241",241,"HED_241",0,"Yersinia","pestis","Unspecified","multidrug-resistance","Unspecified","Ambalavao district of Madagascar","3",1,"traveljournals.net. ""Province of Fianarantsoa, Madagascar"" ESRIAdmin00.","traveljournals.net. ""Province of Fianarantsoa, Madagascar"" ESRIAdmin00.","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","","","flea","1995",1995,"1990","Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","","Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","The site of the putative genetic transfer remains unknown. Enterobacteria are usually confined to the intestinal lumen of the host, whereas Y. pestis circulates in lymphatic vessels, the spleen, the liver, blood, and sometimes the lungs. However, intestin","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","",0,0,1,1,"HED_241.shp",TRUE
"242",242,"HED_242",1,"Yersinia","pestis","Unspecified","Unspecified","Unspecified","USA (NM area)","3",1,"ESRIAdmin00. ""New Mexico, US""","ESRIAdmin00. ""New Mexico, US""","yes",1,1,2,"bacteria","Bite of infected flea; inhalation of airborne bacilli; close contact with infected animal or tissues","arthropod-borne","vector","inhalation of mucous droplet or bacilli","contact with blood, pus, or tissue of infected animals","y","","flea","1990s",1990,"1990","Human plague — United States, 1993-1994. MMWR Morb Mortal Wkly Rep 1994c;43:242-6.","","Galimand M, Guiyoule A, Gerbaud G, Rasoamanana B, Chanteau S, Carniel E, Courvalin P (1997) Multidrug resistance in Yersinia pestis mediated by a transferable plasmid. N Engl J Med 337:677–80","number of foci is gradually expanding in certain countries","development/encroachment/deforestation","economic development and land use","encroachment","land use change","recreational activities in wooded areas","pets","Wild rodents (rats) are the natural reservoir; lagomorphs (rabbits, hares) and carnivores may be a source of infection to humans","Unspecified","Unspecified","Taylor et al.","",0,1,1,1,"HED_242.shp",TRUE
"243",243,"HED_243",1,"Aspergillus","fumigatus","Unspecified","group","Unspecified","Edinburgh","1",1,"GGv2. ""Edinburgh, UK""","GGv2. ""Edinburgh, UK""","yes",1,0,0,"fungi","Inhalation of airborne conidia","inhalation of spore","direct contact","None","None","y","","None","1842-1947",1842,"1840","http://www.tigr.org/tdb/e2k1/afu1/intro.shtml","","Unspecified","patients with pre-existing lung diseases, as well as cancer patients receiving chemotherapy or undergoing bone-marrow transplantation","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","ubiquitous in nature; particularly in decaying vegetation, such as in piles  of leaves or in compost piles","Unspecified","Unspecified","Taylor et al.","",1,1,0,0,"HED_243.shp",FALSE
"244",244,"HED_244",1,"Blastomyces","dermatitidis","Unspecified","Unspecified","Unspecified","Gifu Prefecture, Japan","3",1,"ESRIAdmin00. ""Chubu Region, Honshu Island, Japan""","ESRIAdmin00. ""Chubu Region, Honshu Island, Japan""","yes",1,0,0,"fungi","Inhalation of dust laden with conidia of mold or saprophytic growth form","dust inhalation","indirect contact","None","None","","","None","1934",1934,"1930","Pappas ANN INTERN MED 116 (10): 847-853 MAY 15 1992  Hohl, P. E., H. P. Holley, Jr., E. Prevost, L. Ajello, and A. A. Padhye. 1983. Infections due to Wangiella dermatitidis in humans: report of the first documented case from the United States and a review of the literature. Rev Infect Dis. 5:854-64. Kano K. Arch Dermatol Syph. 1937. 176:282-294.","","Pappas ANN INTERN MED 116 (10): 847-853 MAY 15 1992  Hohl, P. E., H. P. Holley, Jr., E. Prevost, L. Ajello, and A. A. Padhye. 1983. Infections due to Wangiella dermatitidis in humans: report of the first documented case from the United States and a review","increased recognition","increased recognition","technology and industry","medical industry changes","medical industry changes","None","None","moist soil, particularly wooded areas along waterways and undisturbed places, i.e. under porches or sheds","Unspecified","Unspecified","Taylor et al.","Aspergillus fumigatus is the most common mold causing infection worldwide. The first infection described in man, an aspergilloma, was reported in Edinburgh in 1842 (Bennett, 1842) and many cases of invasive disease in non-immunocompromised patients were reported from the UK between 1890 (Wheaton, 1890) and 1947 (Cawley, 1947). These cases and more recent epidemiological data emphasize that A. fumigatus is a primary, albeit rare, pathogen of man. Allergic disease due to Aspergillus was first described in London in 1952 (Hinson et al., 1952) and the first invasive (and fatal) infection in an immunocompromised patient was described in 1953 in the British Medical Journal in a patient from Gloucester (Rankin, 1953).",1,1,0,0,"HED_244.shp",FALSE
"245",245,"HED_245",1,"Candida","albicans","Unspecified","Unspecified","Unspecified","UCLA Medical Center, Los Angeles, CA","1",1,"multimap.com/. ""UCLA Medical Center, Los Angeles, CA""","multimap.com/. ""UCLA Medical Center, Los Angeles, CA""","yes",1,1,4,"fungi","Endogenous spread (part of normal human flora); by contact with excretions of mouth, skin, and feces from patients or carriers; from mother to infant during childbirth; disseminated candidiasis may originate from mucosal lesions, unsterile narcotic injections, catheters","contact with excretions","direct contact","fomites","mother to infant during childbirth","","","None","Mar-81",1981,"1980","Gottlieb MS, Schroff R, Schanker HM, Weisman JD, Fan PT, Wolf RA, Saxon A. Pneumocystis carinii pneumonia and mucosal candidiasis in previously healthy homosexual men: evidence of a new acquired cellular immunodeficiency. N Engl J Med. 1981 Dec 10;305(24):1425-31.","","Ampel EID 1996.","AIDS","AIDS","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","humans","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_245.shp",FALSE
"246",246,"HED_246",1,"Candida","albicans","Unspecified","ketoconazole-resistant","Unspecified","Denver, CO","1",1,"GGv2. ""Denver, US, Colorado""","GGv2. ""Denver, US, Colorado""","yes",1,1,4,"fungi","Endogenous spread (part of normal human flora); by contact with excretions of mouth, skin, and feces from patients or carriers; from mother to infant during childbirth; disseminated candidiasis may originate from mucosal lesions, unsterile narcotic injections, catheters","contact with excretions","direct contact","fomites","mother to infant during childbirth","","nosocomial","None","May-81",1981,"1980","Horsburgh CR Jr, Kirkpatrick CH. Long-term therapy of chronic mucocutaneous candidiasis with ketoconazole: experience with twenty-one patients. Am J Med. 1983 Jan 24;74(1B):23-9.","","Scheld. EI1. Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","HIV and antifungal azole-therapy; immunosuppression; medical management (catheters); antibiotic use","antifungal resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","AIDS","immunosuppression","humans","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_246.shp",FALSE
"247",247,"HED_247",1,"Candida","albicans","Unspecified","fluconazole-resistant","Unspecified","London","1",1,"GGv2. ""London, UK""","GGv2. ""London, UK""","yes",1,1,4,"fungi","Endogenous spread (part of normal human flora); by contact with excretions of mouth, skin, and feces from patients or carriers; from mother to infant during childbirth; disseminated candidiasis may originate from mucosal lesions, unsterile narcotic injections, catheters","contact with excretions","direct contact","fomites","mother to infant during childbirth","","","None","1985",1985,"1980","JI 1991. 23:345-6","","Unspecified","drug resistance","antifungal resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","AIDS","None","humans","Unspecified","Unspecified","Taylor et al.","contact author",1,1,1,1,"HED_247.shp",FALSE
"248",248,"HED_248",1,"Candida","albicans","Unspecified","micronazole-resistant","Unspecified","Carshalton, Surrey","1",1,"GGv2. ""Carshalton, UK""","GGv2. ""Carshalton, UK""","yes",1,1,4,"fungi","Endogenous spread (part of normal human flora); by contact with excretions of mouth, skin, and feces from patients or carriers; from mother to infant during childbirth; disseminated candidiasis may originate from mucosal lesions, unsterile narcotic injections, catheters","contact with excretions","direct contact","fomites","mother to infant during childbirth","","","None","20-Apr-77",1977,"1970","Lancet 1978. i:50-51.","","Unspecified","drug resistance","antifungal resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","humans","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_248.shp",FALSE
"249",249,"HED_249",1,"Candida","glabrata","Unspecified","fluconazole-res","Unspecified","Bristol, UK","1",1,"GGv2. ""Bristol, UK""","GGv2. ""Bristol, UK""","yes",1,1,4,"fungi","Transmission may be by indirect contact; for vulvovaginitis, Candida spp. are part of the lower genital tract flora in 20 to 50% of healthy asymptomatic women [784]. Carriage rates are higher in: Women treated with broad spectrum antibiotics [321, 1547]. Pregnant women [236, 321].  Diabetic women [2112]. Women with the diagnosis of AIDS (CD4+ counts < 200 cells/mL) [576]. Lower CD4+ T-cell counts are associated with higher rates of colonization; Most infections are endogenous in origin, but organisms can be transmitted on the hands of care givers","indirect contact","indirect contact","care givers hands","None","","","None","10-Aug-88",1988,"1980","Lancet 1988. ii:1310","","Unspecified","drug resistance","antifungal resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","",1,1,1,1,"HED_249.shp",FALSE
"250",250,"HED_250",1,"Candida","krusei","Unspecified","Unspecified","Unspecified","Oncology center, Johns Hopkins Medical Center, Baltimore, MD","1",1,"multimap.com/. ""Johns Hopkins Medical Center, Baltimore, MD""","multimap.com/. ""Johns Hopkins Medical Center, Baltimore, MD""","yes",1,1,4,"fungi","Most infections are endogenous in origin, but organisms can be transmitted on the hands of care givers","hands of care givers","indirect contact","None","None","","","None","1977",1977,"1970","Merz WG, Karp JE, Schron D, Saral R. Increased incidence of fungemia caused by Candida krusei. J Clin Microbiol 24: 581-84, 1986.  Horn R, Wong B, Kiehn TE, Armstrong D. Fungemia in a cancer hospital: changing frequency, earlier onset, and results of therapy. Rev Infect Dis. 1985 Sep-Oct; 7(5): 646-55.","","Abbas j Arch Intern Med. 2000 Sep 25;160(17):2659-64.","increased use of fluconazole","antibiotic-resistance","microbial adaptation and change","antimicrobial agent use","antimicrobial agent use","None","None","None","Unspecified","Unspecified","Taylor et al.","contact author",1,1,1,0,"HED_250.shp",FALSE
"251",251,"HED_251",1,"Candida","tropicalis","Unspecified","Unspecified","Unspecified","Memorial Sloan-Kettering, 125 York Ave., NY, NY","1",1,"multimap.com/. ""Memorial Sloan-Kettering, 125 York Ave., NY, NY""","multimap.com/. ""Memorial Sloan-Kettering, 125 York Ave., NY, NY""","yes",1,1,4,"fungi","By contact with secretions or excretions of mouth, skin, vagina, feces, from patients or carriers; by passage from mother to neonate during childbirth; and by endogenous spread","contact with secretions","direct contact","transplacental transmission","endogenous spread","","","None","Nov-74",1974,"1970","Wingard, J. R., W. G. Merz, and R. Saral. 1979. Candida tropicalis: a major pathogen in immunocompromised patients. Ann. Intern. Med. 91:539-543. Meunier-Carpentier F, Kiehn TE, Armstrong D. Fungemia in the immunocompromised host. Changing patterns, antigenemia, high mortality. Am J Med. 1981 Sep;71(3):363-70.","","Abbas j Arch Intern Med. 2000 Sep 25;160(17):2659-64.","cancer patients","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","humans","Unspecified","Unspecified","Unspecified","",1,1,1,0,"HED_251.shp",FALSE
"252",252,"HED_252",1,"Coccidioides","immitis","Unspecified","Unspecified","Unspecified","Kern County, CA","3",1,"ESRIcounties. ""KernCounty, CA""","ESRIcounties. ""KernCounty, CA""","yes",1,1,3,"fungi","Inhalation of infective arthroconidia from soil (arthroconidium is 2-5 µm with high propensity for airborne transmission and retention in deep pulmonary spaces); laboratory accidents involving cultures are common; parasitic spherules not usually infective (larger size 30-60 µm of spherule reduces effectiveness of this form as an airborne pathogen) but accidental inoculation of infected pus or other materials can result in granuloma formation","inhalation of conida","direct contact","None","None","possible","","None","1990",1990,"1990","CID. 1994. 19(S1):S14-18.","","Unspecified","severe aridity followed by intense rainfall","climatic factors","climate and weather","climate and weather","climate and weather","None","None","soil; especially in and around Indian middens and rodent burrows, in regions with appropriate temperature, moisture, and soil requirements; infects humans, cattle, cats, dogs, horses, burros, sheep, swine, wild desert rodents, coyotes, chinchillas, llamas","Unspecified","Unspecified","Taylor et al.; Abbas j Arch Intern Med. 2000 Sep 25;160(17):2659-64.","",1,1,1,1,"HED_252.shp",TRUE
"253",253,"HED_253",1,"Cryptococcus","neoformans","Unspecified","Unspecified","Unspecified","Elisabethville, Katanga province, Belgian Congo","1",1,"GGv2. ""Lubumbashi, Congo (place renamed from Elisabethville""","GGv2. ""Lubumbashi, Congo (place renamed from Elisabethville""","yes",1,1,2,"fungi","Presumably by inhalation","inhalation","direct contact","None","None","","","None","May-50",1950,"1950","Molez JF. The historical question of acquired immunodeficiency syndrome in the 1960s in the Congo River basin area in relation to cryptococcal meningitis. Am J Trop Med Hyg. 1998 Mar;58(3):273-6. Stijns J, Royer P, 1953. Un cas de meningite a Torulopsis au Congo Belge. Ann Soc Belg Med Trop 33: 483. http://www.belspo.be/bccm/news/7-00/bccm02.htm","","Lederberg, Shope, et al. (IOM.) Emerging Infections. 1992.","immunosuppression","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","saprophytic growth in the external environment; can be isolated consistently from old pigeon nests and pigeon droppings from soil in many  parts of the world.","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_253.shp",TRUE
"254",254,"HED_254",1,"Fusarium","moniliforme","Unspecified","Unspecified","Unspecified","Bethesda, MD","1",1,"GGv2. ""Bethesda, US, Maryland""","GGv2. ""Bethesda, US, Maryland""","yes",0,0,0,"fungi","portals of entry include lungs, sinuses, catheters, and periungal regions","aerosolized","direct contact","ingestion","fomites","","","None","1978",1978,"1970","Young NA, Kwon-Chung KJ, Kubota TT, Jennings AE, Fisher RI. Disseminated infection by Fusarium moniliforme during treatment for malignant lymphoma. J Clin Microbiol. 1978 Jun;7(6):589-94.","","http://www.mold-help.org/fusarium.htm; Lashley","The first reference we have to Fusarium in humans dates from an 1916 article published in French by Dr. N.V. Greco in an Argentine Medical Journal called  Origine des Tumeurs (Etiologie du Cancer, etc.) et Observations de Mycoses (Blastomycosis, etc) Arge; risk groups include neutropenia, chemotherapy, and BMT patients","immunosuppression","human susceptibility to infection","human susceptibility to infection increase","human susceptibility to infection increase","None","None","common contaminant of maize; also can infect monkeys","Unspecified","Unspecified","Taylor et al.","",1,1,1,0,"HED_254.shp",FALSE
